HCCSS,above_five,five_or_less,total,rate,week
Central,11,4,15,26.67,1
Central East,12,4,16,25,1
Central West,2,1,3,33.33,1
Toronto Central,0,0,0,NA,1
Central,10,3,13,23.08,2
Central East,8,4,12,33.33,2
Central West,0,0,0,NA,2
Toronto Central,0,0,0,NA,2
Central,9,4,13,30.77,3
Central East,6,4,10,40,3
Central West,3,0,3,0,3
Toronto Central,0,0,0,NA,3
Central,4,4,8,50,4
Central East,4,6,10,60,4
Central West,1,4,5,80,4
Toronto Central,0,0,0,NA,4
